job_title,overall_score,keyword_score,coverage_percentage,strong_match_percentage,missing_keywords,improvement_suggestions
QA Engineer,52.9,0.0010633485251477837,20.0,0.0,"campaign, apply, test, way, actually, actually responsibilities, adult, adult requirements, age, age occur, agent, agent way, air, air company, allow, allow increase, api, api testing, apply design, apply strong","Consider adding experience or skills related to: campaign, apply, test, way, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Technical Lead,46.27,0.0,0.0,0.0,"individual, issue, poor, wonder, according, according wonder, allow, allow camera, approach, approach responsibilities, architecture, beat, beat defense, beautiful, beautiful year, body, body want, camera, camera step, center","Consider adding experience or skills related to: individual, issue, poor, wonder, according
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Data Engineer,51.69,6.826932670992004e-05,5.0,0.0,"box, job, resource, adult, adult threat, airflow, airflow python, approach, approach prove, box magazine, box tough, cause, cause chance, certain, certain box, chance, chance require, commercial, commercial long, data","Consider adding experience or skills related to: box, job, resource, adult, adult threat
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Research Scientist,46.32,0.0001560976352636157,5.0,0.0,"ahead, just, research, sell, actually, actually organization, ahead significant, ahead study, analysis, analysis research, attack, attack morning, bed, bed sell, car, car work, child, child sell, collection, collection field","Consider adding experience or skills related to: ahead, just, research, sell, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
DevOps Engineer,50.05,0.0005366734884263649,10.0,0.0,"forget, coach, act, act hot, action, action ball, ago, ago hair, approach, approach act, aws, aws docker, baby, baby stop, ball, ball energy, bed, bed clearly, behavior, behavior central","Consider adding experience or skills related to: forget, coach, act, act hot, action
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Software Engineer,47.22,0.0,0.0,0.0,"candidate, debate, public, rest, simply, according, according simply, actually, actually simply, apis, apis python, attack, attack share, aws, aws javascript, black, black form, bring, bring tax, candidate according","Consider adding experience or skills related to: candidate, debate, public, rest, simply
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Machine Learning Engineer,49.12,0.0,0.0,0.0,"ago, number, reality, report, act, act report, ago direction, ago number, answer, answer week, authority, authority difficult, away, away necessary, believe, believe environmental, benefit, benefit late, big, big team","Consider adding experience or skills related to: ago, number, reality, report, act
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Research Scientist,49.13,5.764287198883956e-05,5.0,0.0,"cost, million, natural, remember, accept, accept half, according, according weight, administration, administration minute, ahead, ahead music, analysis, analysis machine, attorney, attorney pass, authority, authority cost, brother, brother smile","Consider adding experience or skills related to: cost, million, natural, remember, accept
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Full Stack Developer,52.35,0.0003205852818187507,10.0,0.0,"mention, arrive, arrive imagine, attention, attention black, black, black ground, career, career responsibilities, century, century career, choose, choose study, college, college century, congress, congress edge, day, day knowledge, debate","Consider adding experience or skills related to: mention, arrive, arrive imagine, attention, attention black
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Database Administrator,50.14,0.00015328483487124143,5.0,0.0,"development, discuss, popular, analysis, analysis popular, attack, attack speak, bag, bag task, bring, bring discuss, coach, coach start, crime, crime town, database, database design, design, design sql, development past","Consider adding experience or skills related to: development, discuss, popular, analysis, analysis popular
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
